id,name,name_zh,glass_type,scene,composition,output_image,status,prompt,prompt_zh
1087,Salty Swede,咸味瑞典人,Old Fashioned Glass,晨光柑橘台面,off-center-left / medium,output/images/1087_salty_swede.jpg,success,"Bright and airy lifestyle still-life of a single Old Fashioned glass sitting on a pale travertine counter, placed on the left third of the frame with generous soft negative space to the right, medium shot, glass roughly one third of frame height. The drink is a pale blush-grapefruit highball, gently cloudy and lightly effervescent with rising tiny bubbles, a crisp yuzu-salt rim catching the light, one large clear ice cube inside, a thin grapefruit wedge on the rim, delicate condensation beads on the cool glass. Soft diffused morning window light from the right, low-key warmth, shallow depth of field, creamy bokeh, 85mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",明亮清新的生活方式静物：一只古典杯置于浅色石灰华台面左侧三分处，右侧留出大面积柔和负空间，中景，杯高约占画幅三分之一。酒体为淡淡的西柚粉色高球，略带浑浊与细密上升气泡，柚子盐边在光下闪亮，杯中一块通透大冰，杯沿一小片西柚，杯壁凝结冷凝水珠。右侧柔和清晨窗光，浅景深奶油散景，85mm微距感，超精细，写实，8k。
1226,SOMA Fizz,SOMA 菲士,Collins,奶香晨间菲士,off-center-right / medium,output/images/1226_soma_fizz.jpg,success,"Soft bright editorial still-life of a single tall Collins glass on a smooth ivory marble surface, subject on the right third with airy negative space to the left, medium shot, glass about one third of frame height. A creamy fizz: pale ivory clouded liquid with a dense silky foam collar on top, fine soda bubbles clinging to the walls, a fresh orange wedge perched on the rim, cool condensation misting the glass. Gentle overcast daylight from a side window, delicate pastel palette, shallow depth of field with creamy bokeh, 100mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",柔和明亮的编辑风静物：一只高身可林杯置于象牙色大理石台面右侧三分处，左侧留白，中景，杯高约占画幅三分之一。奶香菲士：象牙白微浑酒液，顶部一层绵密丝滑奶泡，杯壁附着细密苏打气泡，杯沿一片鲜橙角，杯身凝结冷凝薄雾。侧窗柔和阴天日光，淡雅粉彩色调，浅景深奶油散景，100mm微距感，超精细，写实，8k。
1255,Kentucky Likker,肯塔基烈酒,Old Fashioned Glass,暗木烈酒仰视,low-angle hero / subject lower third,output/images/1255_kentucky_likker.jpg,success,"Moody low-key spirit-forward still-life shot from a low hero angle, a single heavy Old Fashioned glass on aged dark walnut, subject sitting in the lower third with dramatic dark space and a soft light halo above. The drink is a deep mahogany-amber bourbon stirred with amaro, brilliantly translucent, one large clear ice cube glowing amber inside, a curled lemon peel and a dark Luxardo cherry resting within, faint condensation on the glass. Warm tungsten side light rakes the rim, cinematic chiaroscuro, shallow depth of field, creamy bokeh, 85mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",暗调、以烈酒为主角的静物，低角度英雄式仰拍：一只厚重古典杯置于做旧胡桃木上，主体位于画面下三分，上方留出戏剧性暗部与柔和光晕。酒体为深赤褐琥珀色的波本调酒，晶莹通透，杯中一块通透大冰泛着琥珀光，一条柠檬皮卷与一颗深色路萨朵樱桃沉于杯中，杯壁微凝水珠。暖钨丝侧光扫过杯缘，电影级明暗对比，浅景深奶油散景，85mm微距感，超精细，写实，8k。
1316,Toasted Drop,炙烤滴落,Martini,肉桂糖边俯视,high-angle 45 overhead / off-center,output/images/1316_toasted_drop.jpg,success,"Elegant high-angle 45-degree still-life of a single chilled martini glass on a dark brushed-brass tray, subject offset to one side revealing the tabletop, glass modest in frame. A pale lemony-cream sour with a delicate airy egg-white foam crown, a fine cinnamon-sugar rim glittering warmly, silky translucent body beneath the foam, tiny bubbles at the surface. Soft directional warm light from upper left casting a gentle long shadow, refined moody palette, shallow depth of field, creamy bokeh, 100mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",优雅的45度高角度俯拍静物：一只冰镇马天尼杯置于深色拉丝黄铜托盘上，主体偏置一侧露出台面，杯身占比适中。淡柠檬奶油色酸酒，顶部一层轻盈蛋清奶泡，细腻的肉桂糖边泛着暖光，泡沫下酒液丝滑半透明，表面细小气泡。左上方柔和定向暖光投出柔长阴影，克制而有情绪的色调，浅景深奶油散景，100mm微距感，超精细，写实，8k。
1358,Abano Sour,阿巴诺酸酒,,环境暖光酸酒,wide environmental / subject small,output/images/1358_abano_sour.jpg,success,"Warm environmental still-life, wide shot of a single coupe glass sitting small within a larger softly-lit bar corner, subject occupying about a quarter of the frame with rich ambient space around it. An amber-brown bitter sour beneath a thick creamy egg-white foam, a fragrant cardamom-sugar rim, silky translucent liquid, a fine dusting of spice on the foam. Warm ambient tungsten glow with soft falloff, aged wood and blurred shelving bokeh behind, cinematic low-key mood, shallow depth of field, 85mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",暖调环境静物，广角：一只碟形杯较小地融入柔光酒吧一角，主体约占画幅四分之一，四周环境留白丰富。琥珀棕色的苦味酸酒，上覆厚实绵密蛋清奶泡，芳香豆蔻糖边，酒液丝滑半透，泡沫上薄撒香料。暖钨丝环境光柔和衰减，背景做旧木质与虚化置物架散景，电影暗调，浅景深，85mm感，超精细，写实，8k。
1526,Bloody Swede,血腥瑞典人,,咸鲜番茄一角,minimalist negative space / corner,output/images/1526_bloody_swede.jpg,success,"Minimalist savory still-life, a single tall glass pushed to the lower-left corner of the frame with vast clean negative space and soft shadow filling the rest. A deep tomato-red bloody mary, opaque and rich, an elaborate skewer laid across the rim loaded with a caper berry, cherry tomato, pickled okra, cocktail onion and a jalapeno-stuffed olive, a celery stalk rising from the glass, gentle condensation. Cool diffused daylight from the side, muted earthy palette, shallow depth of field, creamy bokeh, 100mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",极简咸鲜静物：一只高杯被压到画面左下角，其余是大片干净负空间与柔和阴影。深番茄红的血腥玛丽，浑厚不透明，杯口横架一根丰盛竹签串着刺山柑果、樱桃番茄、腌秋葵、鸡尾酒洋葱和塞馅橄榄，一根芹菜梗自杯中挺立，杯壁微凝水珠。侧向柔和日光，低饱和大地色调，浅景深奶油散景，100mm微距感，超精细，写实，8k。
1542,My Spicy Valentine,我的辣味情人,,巧克力奶香框景,foreground framing / through blur,output/images/1542_my_spicy_valentine.jpg,success,"Intimate still-life shot through a soft blurred foreground of dark chocolate shavings, a single chilled coupe cocktail glass in the mid-ground offset from center, layered depth. The drink is a silky chocolate-brown creamy cocktail, opaque and velvety with a faint mocha sheen on the surface, no garnish, delicate cool condensation on the bowl. Warm low side light glowing against a deep shadowed backdrop, romantic moody palette, shallow depth of field, dreamy creamy bokeh, 85mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",亲密感静物，透过虚化的前景黑巧克力碎拍摄：一只冰镇碟形鸡尾酒杯位于中景、偏离正中，纵深分明。酒体为丝滑巧克力棕的奶香鸡尾酒，绵密不透明，表面泛着淡淡摩卡光泽，无装饰，杯壁凝结细腻冷凝水珠。暖调低位侧光映衬深暗背景，浪漫而有情绪的色调，浅景深梦幻奶油散景，85mm微距感，超精细，写实，8k。
904,The Happy Place,快乐之地,,长焦压缩红宝石,telephoto compression / off-center third,output/images/904_the_happy_place.jpg,success,"Cinematic telephoto still-life, a single coupe glass placed on the right third line, deep layered creamy bokeh compressing a dim bar backdrop behind, shallow plane of focus. A brilliant ruby-cranberry gin cocktail, jewel-clear and luminous, a faint aromatic peaty mist drifting just above the surface, a delicate expressed lemon oil sheen, no ice, clean stem. Warm directional light rims the glass edge against cool shadow, elegant low-key palette, 135mm compression, creamy bokeh, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",电影感长焦静物：一只碟形杯置于右侧三分线，背后是深邃层叠的奶油散景，将昏暗酒吧背景压缩虚化，焦平面浅。酒体为明亮红宝石般的蔓越莓金酒鸡尾酒，晶莹通透、熠熠生辉，酒面上方飘着一缕淡淡的泥煤威士忌香雾，表面泛着柠檬精油光泽，无冰，杯脚洁净。暖调定向光勾勒杯缘、映衬冷调阴影，优雅暗调，135mm压缩，奶油散景，超精细，写实，8k。
919,Cut & Rum,切割与朗姆,Smoked Glass,山核桃木俯拍,off-center flat lay / top-down,output/images/919_cut_rum.jpg,success,"Overhead top-down flat-lay still-life, a single smoked rocks glass placed off-center on a rugged hickory wood board, surrounded by clean space with a single curled orange peel clipped by a wooden pin nearby. A deep amber rum blend stirred over one large clear two-inch ice cube, richly translucent with warm highlights, a faint smoky haze inside the smoked glass, subtle chill sheen. Dramatic hard directional light from one side casting a crisp shadow across the grain, moody low-key wood palette, shallow depth of field, 100mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",90度俯拍平铺静物：一只烟熏古典杯偏置于粗犷山核桃木板上，周围留白，一旁有一条橙皮卷用木夹夹着。深琥珀色的朗姆混调，搅拌于一块两英寸通透大冰上，酒体浓郁半透、暖调高光，烟熏玻璃内隐约烟雾，杯身微凝冷光。单侧戏剧硬光在木纹上投出利落阴影，暗调木质色调，浅景深，100mm感，超精细，写实，8k。
931,Fiona Graham,菲奥娜·格雷厄姆,Nick & Nora,冷窗光剪影,distant backlit rim / subject to side,output/images/931_fiona_graham.jpg,success,"Quiet cinematic still-life, a single elegant Nick & Nora glass placed small to one side of the frame, backlit by a soft cool window glow that rims its silhouette, large atmospheric space dominating. A pale straw-gold aperitivo-sake cocktail, clear and delicate with a light bitter hue, one big clear ice rock inside, a wide expressed orange swath draped over the rim, faint surface citrus oils. Cool moonlit blue side-back light with a distant tiny warm accent, serene low-key palette, shallow depth of field, creamy bokeh, 85mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",静谧电影感静物：一只优雅的尼克诺拉杯较小地置于画面一侧，被柔和冷调窗光逆光勾出轮廓，大片氛围空间主导画面。酒体为淡稻草金的开胃酒清酒鸡尾酒，清澈细腻、略带微苦色泽，杯中一块通透大冰，一条宽橙皮搭在杯沿，酒面浮着淡淡柑橘油。冷调月光蓝侧逆光配远处一点极小暖光，宁静暗调，浅景深奶油散景，85mm感，超精细，写实，8k。
