id,name,en,category,local_image,image_source,white_ratio,status
101,黑麦威士忌,rye whiskey,base_spirit,images/101_rye_whiskey.png,cocktaildb,1.000,ok
102,田纳西威士忌,Tennessee whiskey,base_spirit,images/102_Tennessee_whiskey.png,cocktaildb,0.914,ok
114,保税黑麦威士忌,bonded rye whiskey,base_spirit,images/114_bonded_rye_whiskey.png,cocktaildb,1.000,ok
132,黑核桃波本威士忌,bourbon whiskey,base_spirit,images/132_bourbon_whiskey.png,cocktaildb,0.995,ok
138,金酒,gin,base_spirit,images/138_gin.png,cocktaildb,0.974,ok
139,高浓度烈酒,high proof neutral spirit,base_spirit,images/139_high_proof_neutral_spirit.png,cocktaildb,1.000,ok
145,麦芽威士忌,malt whiskey,base_spirit,images/145_malt_whiskey.png,cocktaildb,1.000,ok
173,日本威士忌,Japanese whisky,base_spirit,images/173_Japanese_whisky.png,cocktaildb,1.000,ok
175,谷物酒精,grain alcohol,base_spirit,images/175_grain_alcohol.png,cocktaildb,1.000,ok
182,波本威士忌,Bourbon whiskey,base_spirit,images/182_Bourbon_whiskey.png,csv,0.995,ok
185,荷兰金酒,Genever,base_spirit,images/185_Genever.png,cocktaildb,0.974,ok
188,卡莎萨,Cachaca,base_spirit,images/188_Cachaca.png,cocktaildb,1.000,ok
191,高浓度朗姆酒,overproof rum,base_spirit,images/191_overproof_rum.png,csv,0.987,ok
197,调和威士忌,blended whiskey,base_spirit,images/197_blended_whiskey.png,csv,1.000,ok
215,覆盆子味伏特加,raspberry vodka,base_spirit,images/215_raspberry_vodka.png,cocktaildb,1.000,ok
237,美国单一麦芽威士忌,American single malt whiskey,base_spirit,images/237_American_single_malt_whiskey.png,cocktaildb,1.000,ok
241,陈酿龙舌兰,anejo tequila,base_spirit,images/241_anejo_tequila.png,cocktaildb,0.978,ok
259,鹅肝浸雪利白兰地,sherry brandy,base_spirit,images/259_sherry_brandy.png,cocktaildb,0.964,ok
26,皮斯科,Pisco,base_spirit,images/26_Pisco.png,cocktaildb,0.981,ok
263,燕麦浸泡伏特加,vodka,base_spirit,images/263_vodka.png,cocktaildb,0.937,ok
270,白朗姆酒,white rum,base_spirit,images/270_white_rum.png,cocktaildb,1.000,ok
279,柠檬味伏特加,lemon vodka,base_spirit,images/279_lemon_vodka.png,cocktaildb,1.000,ok
287,牙买加朗姆酒,Jamaican rum,base_spirit,images/287_Jamaican_rum.png,cocktaildb,1.000,ok
291,玉米威士忌,corn whiskey,base_spirit,images/291_corn_whiskey.png,cocktaildb,0.995,ok
294,水果白兰地,fruit brandy,base_spirit,images/294_fruit_brandy.png,cocktaildb,0.964,ok
297,香草味伏特加,vanilla vodka,base_spirit,images/297_vanilla_vodka.png,cocktaildb,0.983,ok
309,金朗姆酒,gold rum,base_spirit,images/309_gold_rum.png,csv,1.000,ok
310,无花果浸渍苹果白兰地,apple brandy,base_spirit,images/310_apple_brandy.png,cocktaildb,1.000,ok
